Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,ocean_proximity,City,average_rooms,average_bedrooms,Rounded_Distance_To_Coast,Rounded_Distance_To_LA,Rounded_Distance_To_SanDiego,Rounded_Distance_To_SanFrancisco,Rounded_Distance_To_SanJose
87500,1.5594,52,800,313,1337,282,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,2.84,1.11,5,180,0,740,670
103100,1.8456,32,719,251,894,208,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,3.46,1.21,5,180,0,740,670
91100,1.8696,52,500,113,480,108,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,4.63,1.05,5,180,0,740,670
139400,2.1164,34,1694,455,1467,425,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,3.99,1.07,5,180,0,740,670
100000,1.2375,52,979,314,975,297,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,3.3,1.06,5,180,0,740,670
72000,1.2841,43,966,255,857,208,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,4.64,1.23,5,180,0,740,670
106300,1.6011,52,1225,332,955,321,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,3.82,1.03,5,180,0,740,670
82900,1.7642,39,1647,478,2176,479,32.71,-117.14,4774.240134,181041.5246,2073.401389,671992.7028,739964.8377,NEAR OCEAN,San Diego,3.44,1,5,180,0,740,670
368800,3.6759,44,2655,514,1102,489,32.7,-117.18,1390.964637,179897.0915,2488.581107,670526.9862,738483.1696,NEAR OCEAN,San Diego,5.43,1.05,0,180,0,740,670
404500,5.1386,42,1691,286,761,281,32.7,-117.18,1390.964637,179897.0915,2488.581107,670526.9862,738483.1696,NEAR OCEAN,San Diego,6.02,1.02,0,180,0,740,670
116700,1.815,52,408,143,313,143,32.73,-117.17,4855.340049,177628.2878,1791.890442,668502.1617,736470.9529,NEAR OCEAN,San Diego,2.85,1,5,180,0,735,670
112500,1.6591,52,55,18,65,22,32.73,-117.17,4855.340049,177628.2878,1791.890442,668502.1617,736470.9529,NEAR OCEAN,San Diego,2.5,0.82,5,180,0,735,670
215000,2.4069,52,1578,487,879,446,32.73,-117.17,4855.340049,177628.2878,1791.890442,668502.1617,736470.9529,NEAR OCEAN,San Diego,3.54,1.09,5,180,0,735,670
250000,1.3071,51,1321,550,781,499,32.72,-117.15,4765.672604,179596.1179,1140.453271,670539.9275,738511.9339,NEAR OCEAN,San Diego,2.65,1.1,5,180,0,740,670
137500,1.2292,52,344,177,460,147,32.72,-117.15,4765.672604,179596.1179,1140.453271,670539.9275,738511.9339,NEAR OCEAN,San Diego,2.34,1.2,5,180,0,740,670
168800,2.0529,43,1073,344,660,279,32.72,-117.14,5430.902386,180122.6315,2028.929351,671125.7385,739100.745,NEAR OCEAN,San Diego,3.85,1.23,5,180,0,740,670
156300,1.6156,45,1140,310,840,339,32.72,-117.14,5430.902386,180122.6315,2028.929351,671125.7385,739100.745,NEAR OCEAN,San Diego,3.36,0.91,5,180,0,740,670
139100,2.2804,42,1558,458,1227,407,32.72,-117.14,5430.902386,180122.6315,2028.929351,671125.7385,739100.745,NEAR OCEAN,San Diego,3.83,1.13,5,180,0,740,670
160400,2.1199,34,2533,862,2011,778,32.72,-117.14,5430.902386,180122.6315,2028.929351,671125.7385,739100.745,NEAR OCEAN,San Diego,3.26,1.11,5,180,0,740,670
112500,2.0972,52,1682,617,873,534,32.73,-117.16,5182.187487,178150.8819,1589.34073,669087.2164,737059.0945,NEAR OCEAN,San Diego,3.15,1.16,5,180,0,735,670
200000,1.9597,52,1218,471,821,429,32.73,-117.16,5182.187487,178150.8819,1589.34073,669087.2164,737059.0945,NEAR OCEAN,San Diego,2.84,1.1,5,180,0,735,670
195800,1.9203,52,1863,559,906,493,32.73,-117.16,5182.187487,178150.8819,1589.34073,669087.2164,737059.0945,NEAR OCEAN,San Diego,3.78,1.13,5,180,0,735,670
409700,4.0488,33,4084,897,1804,833,32.7,-117.17,1861.519514,180408.5108,1938.32743,671109.2475,739068.8037,NEAR OCEAN,San Diego,4.9,1.08,0,180,0,740,670
205000,4.2375,7,2493,693,951,641,32.71,-117.17,2774.061395,179479.6666,1049.842977,670239.5036,738202.1973,NEAR OCEAN,San Diego,3.89,1.08,5,180,0,740,670
187500,0.7685,39,311,181,206,113,32.71,-117.17,2774.061395,179479.6666,1049.842977,670239.5036,738202.1973,NEAR OCEAN,San Diego,2.75,1.6,5,180,0,740,670
22500,1.0918,52,845,451,1230,375,32.71,-117.16,3313.139359,179997.0028,645.8709377,670823.1794,738789.0984,NEAR OCEAN,San Diego,2.25,1.2,5,180,0,740,670
325000,1.3092,5,2508,827,2066,761,32.71,-117.16,3313.139359,179997.0028,645.8709377,670823.1794,738789.0984,NEAR OCEAN,San Diego,3.3,1.09,5,180,0,740,670
162500,1.0391,24,1232,663,1184,626,32.72,-117.16,4204.705538,179072.8694,484.9179728,669954.8387,737923.7672,NEAR OCEAN,San Diego,1.97,1.06,5,180,0,740,670
162500,0.9142,52,788,463,805,391,32.72,-117.16,4204.705538,179072.8694,484.9179728,669954.8387,737923.7672,NEAR OCEAN,San Diego,2.02,1.18,5,180,0,740,670
225000,1.2668,27,1245,471,653,451,32.72,-117.16,4204.705538,179072.8694,484.9179728,669954.8387,737923.7672,NEAR OCEAN,San Diego,2.76,1.04,5,180,0,740,670
87500,1.3125,52,402,183,557,172,32.71,-117.15,4001.192719,180517.6317,1217.68508,671407.5798,739376.6457,NEAR OCEAN,San Diego,2.34,1.06,5,180,0,740,670
